Geo_FIPS,Geo_NAME,TOTPOP,MEDAGE,WHITE,BLACK,INDIAN,ASIAN,PACISL,OTHER,MULTRACE,MEDINC,W_NORM,B_NORM,I_NORM,A_NORM,P_NORM,O_NORM,M_NORM
21067003804,"Census Tract 38.04, Fayette County, Kentucky",6013,30.9,1367,3339,0,1,0,960,346,25204,0.227340762,0.555296857,0,0.000166306,0,0.159654083,0.057541992
21067001100,"Census Tract 11, Fayette County, Kentucky",3985,39.6,1527,2170,25,0,0,263,0,25800,0.253949775,0.36088475,0.004157658,0,0,0.043738566,0
21067000300,"Census Tract 3, Fayette County, Kentucky",3257,37.7,1321,1822,0,0,0,36,78,20929,0.21969067,0.303010145,0,0,0,0.005987028,0.012971894
21067000200,"Census Tract 2, Fayette County, Kentucky",3564,27.1,2002,1370,0,61,0,0,131,26515,0.332945285,0.227839681,0,0.010144687,0,0,0.02178613
21067003911,"Census Tract 39.11, Fayette County, Kentucky",3451,29.3,1959,1337,0,0,0,52,103,28932,0.325794113,0.222351572,0,0,0,0.008647929,0.017129553
21067003405,"Census Tract 34.05, Fayette County, Kentucky",5584,34.7,4178,1183,18,136,0,41,28,40807,0.694827873,0.196740396,0.002993514,0.022617662,0,0.00681856,0.004656577
21067001900,"Census Tract 19, Fayette County, Kentucky",4513,23.9,2722,1140,0,54,0,191,406,21691,0.452685847,0.189589223,0,0.008980542,0,0.03176451,0.067520373
21067003803,"Census Tract 38.03, Fayette County, Kentucky",3180,40.9,1555,1137,0,0,0,406,82,56944,0.258606353,0.189090304,0,0,0,0.067520373,0.01363712
21067003404,"Census Tract 34.04, Fayette County, Kentucky",4387,33.2,2961,1067,0,10,0,49,300,30733,0.492433062,0.177448861,0,0.001663063,0,0.00814901,0.049891901
21067003702,"Census Tract 37.02, Fayette County, Kentucky",4521,31.2,2992,987,0,18,0,353,171,71071,0.497588558,0.164144354,0,0.002993514,0,0.058706137,0.028438384
21067003912,"Census Tract 39.12, Fayette County, Kentucky",4059,32.9,2889,935,0,158,0,0,77,48750,0.480459005,0.155496424,0,0.026276401,0,0,0.012805588
21067003102,"Census Tract 31.02, Fayette County, Kentucky",2587,45.1,1327,931,10,0,9,62,248,51806,0.220688508,0.154831199,0.001663063,0,0.001496757,0.010310993,0.041243971
21067003704,"Census Tract 37.04, Fayette County, Kentucky",3870,30.1,2730,904,15,0,0,0,221,79464,0.454016298,0.150340928,0.002494595,0,0,0,0.0367537
21067003402,"Census Tract 34.02, Fayette County, Kentucky",4717,29.2,3326,900,0,114,0,44,333,38630,0.553134874,0.149675703,0,0.018958922,0,0.007317479,0.05538001
21067004001,"Census Tract 40.01, Fayette County, Kentucky",6264,31.4,5110,883,0,58,0,11,202,43674,0.849825378,0.146848495,0,0.009645768,0,0.00182937,0.03359388
